Locale,Key,English Value,Type
am,"pleaseEnterAPromoCode","Please enter a promo code",missing
am,"pleaseEnterAValidEmailAddress","Please enter a valid email address",missing
am,"pleaseEnterAValidEmailOrPhone","Please enter a valid email or phone",missing
am,"pleaseLogInToViewYourProfile","Please log in to view your profile.",missing
am,"pleaseSignInToCreateASession","Please sign in to create a session",missing
am,"pleaseSignInToUploadABackground","Please sign in to upload a background",missing
am,"privacyPolicy","Privacy Policy",missing
am,"privacyRequestSentToYourParents","Privacy request sent to your parents!",missing
am,"profile1","Profile",missing
am,"profileNotFound","Profile not found.",missing
am,"profileSaved","Profile saved!",missing
am,"promoAppliedYourNextBillIsFree","Promo applied! Your next bill is free.",missing
am,"providers","Providers",missing
am,"pspecialtynpcontactinfo","{specialty}\n{contactInfo}",missing
am,"rating","Rating",missing
am,"readOnly","Read Only",missing
am,"readOurPrivacyPolicy","Read our privacy policy",missing
am,"readWrite","Read & Write",missing
am,"REDACTED_TOKEN","Receive booking notifications via email",missing
am,"REDACTED_TOKEN","Receive booking notifications via SMS",missing
am,"REDACTED_TOKEN","Receive push notifications for new bookings",missing
am,"REDACTED_TOKEN","Redirecting to Stripe checkout for Basic plan...",missing
am,"REDACTED_TOKEN","Redirecting to Stripe checkout for Pro plan...",missing
am,"referralCode","Referral Code",missing
am,"referrals","Referrals",missing
am,"referralsAmbassadorreferrals","Referrals: {referrals}",missing
am,"refresh1","Refresh",missing
am,"registering","Registering...",missing
am,"registrationFailedEtostring","Registration failed: {error}",missing
am,"reject","Reject",missing
am,"reply","Reply",missing
am,"requireParentApproval","Require Parent Approval",missing
am,"requiresInstallFallback","Requires Install Fallback",missing
am,"resolve","Resolve",missing
am,"resolved","Resolved",missing
am,"responseDetail","Response Detail",missing
am,"responseIndex1","Response #{number}",missing
am,"restrictMatureContent","Restrict mature content",missing
am,"retry1","Retry",missing
am,"revokeConsent","Revoke Consent",missing
am,"rewards","Rewards",missing
am,"roomAddedSuccessfully","Room added successfully!",missing
am,"roomDeletedSuccessfully","Room deleted successfully!",missing
am,"roomUpdatedSuccessfully","Room updated successfully!",missing
am,"rooms","Rooms",missing
am,"save1","Save",missing
am,"saveChanges","Save Changes",missing
am,"scheduledAtArgsscheduledat","Scheduled at: {scheduledAt}",missing
am,"scheduledAtScheduledat","Scheduled at: $scheduledAt",missing
am,"schedulerScreen","Scheduler Screen",missing
am,"selectLocation","Select Location",missing
am,"selectStaff","Select Staff",missing
am,"send","Send",missing
am,"sendBookingInvite","Send Booking Invite",missing
am,"sendInvite","Send Invite",missing
am,"serviceServiceidNotSelected","Service: {service}",missing
am,"sessionApproved","Session approved!",missing
am,"sessionRejected","Session rejected",missing
am,"settings1","Settings",missing
am,"REDACTED_TOKEN","Settings dialog will be implemented here.",missing
am,"settingsSavedSuccessfully","Settings saved successfully!",missing
am,"setup","Setup",missing
am,"severityLogseverityname","Severity: {severity}",missing
am,"shareLink","Share Link",missing
am,"shareViaWhatsapp","Share via WhatsApp",missing
am,"signIn","Sign In",missing
am,"signInWithExistingMethod","Sign in with existing method",missing
am,"signOut","Sign Out",missing
am,"skip","Skip",missing
am,"slotDeletedSuccessfully","Slot deleted successfully",missing
am,"smsNotifications","SMS Notifications",missing
am,"socialAccountConflictMessage","An account with email {email} already exists using a different sign-in method. Would you like to link your accounts?",missing
am,"socialAccountConflictTitle","Account Already Exists",missing
am,"staffArgsstaffdisplayname","Staff: {staffName}",missing
am,"staffAvailability","Staff Availability",missing
am,"staffManagementTools","• Staff management tools",missing
am,"staffSelectionstaffdisplayname","Staff: {staffName}",missing
am,"staffStaffidNotSelected","Staff: {staff}",missing
am,"statusAppointmentstatusname","Status: {status}",missing
am,"statusInvitestatusname","Status: {status}",missing
am,"studioBooking","Studio Booking",missing
am,"REDACTED_TOKEN","Studio booking is only available on web",missing
am,"studioDashboard","Studio Dashboard",missing
am,"studioProfile","Studio Profile",missing
am,"submit","Submit",missing
am,"submitBooking","Submit Booking",missing
am,"subscribe","Subscribe",missing
am,"subscribeNow","Subscribe Now",missing
am,"subscribeToBasic499mo","Subscribe to Basic (€4.99/mo)",missing
am,"subscribeToPro1499mo","Subscribe to Pro (€14.99/mo)",missing
am,"subscribeToWidgetplanname","Subscribe to {planName}",missing
am,"subscription","Subscription",missing
am,"REDACTED_TOKEN","Subscription activated successfully!",missing
am,"REDACTED_TOKEN","Subscription cancelled successfully",missing
am,"subscriptionManagement","Subscription Management",missing
am,"subscriptionUnavailable","Subscription unavailable",missing
am,"success1","Success",missing
am,"REDACTED_TOKEN","Successfully registered as Ambassador!",missing
am,"supportTicketSubmitted","Support ticket submitted",missing
am,"surveyEditor","Survey Editor",missing
am,"surveyManagement","Survey Management",missing
am,"surveyResponses","Survey Responses",missing
am,"surveyScore","Survey Score",missing
am,"syncAppointment","Sync Appointment",missing
am,"syncToGoogle","Sync to Google",missing
am,"syncToOutlook","Sync to Outlook",missing
am,"targetLogtargettypeLogtargetid","Target: {targetType} - {targetId}",missing
am,"text","Text",missing
am,"time","Time",missing
am,"timeArgsslotformatcontext","Time: {time}",missing
am,"REDACTED_TOKEN","Timestamp: {timestamp}",missing
am,"toAvailendformatcontext","To: {endTime}",missing
am,"toggleAvailability","Toggle Availability",missing
am,"tryAgain","Try Again",missing
am,"typeOpenCall","Type: Open Call",missing
am,"REDACTED_TOKEN","\uD83D\uDCC5 {dateTime}",missing
am,"unlimitedBookingsPerWeek","• Unlimited bookings per week",missing
am,"update","Update",missing
am,"updateYourBusinessInformation","Update your business information",missing
am,"upgradeToBusiness","Upgrade to Business",missing
am,"upload1","Upload",missing
am,"userCid","User {id}",missing
am,"userLoguseremail","User: {userEmail}",missing
am,"userUserid","User $userId",missing
am,"users1","Users",missing
am,"valuetoint","{value}",missing
am,"valuetointk","\${value}K",missing
am,"verification","Verification",missing
am,"verify","Verify",missing
am,"viewAll1","View All",missing
am,"viewDetails","View Details",missing
am,"viewResponses","View Responses",missing
am,"viewResponsesComingSoon","View responses - Coming soon!",missing
am,"virtualPlaytime","Virtual Playtime",missing
am,"REDACTED_TOKEN","Virtual session created! Inviting friends...",missing
am,"welcome1","Welcome",missing
am,"welcomeToYourStudio","Welcome to your studio",missing
am,"REDACTED_TOKEN","You will receive a confirmation email shortly.",missing
am,"REDACTED_TOKEN","Your payment has been processed successfully.",missing
am,"yourUpgradeCodeUpgradecode","Your upgrade code: $upgradeCode",missing
ar,"about1","About",missing
ar,"accept1","Accept",missing
ar,"activateBusinessProfile","Activate Business Profile",missing
ar,"activityLogaction","Activity: {action}",missing
ar,"add1","Add",missing
ar,"addAvailability","Add Availability",missing
ar,"addNewClient","Add New Client",missing
ar,"addNewRoom","Add New Room",missing
ar,"addProvider","Add Provider",missing
ar,"addQuestion","Add Question",missing
ar,"admin","Admin",missing
ar,"adminBroadcast","Admin Broadcast",missing
ar,"adminDashboard","Admin Dashboard",missing
ar,"adminFreeAccess","Admin Free Access",missing
ar,"adminLogadminemail","Admin: {adminEmail}",missing
ar,"adminMetrics","Admin Metrics",missing
ar,"adminOverviewGoesHere","Admin overview goes here",missing
ar,"adminScreenTBD","Admin screen coming soon",missing
ar,"adminSettings","Admin Settings",missing
ar,"advancedReporting","• Advanced reporting",missing
ar,"allCountries","All Countries",missing
ar,"allLanguages","All Languages",missing
